id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
218,Vecoxan 2.5 mg/ml Oral Suspension,00006/4145,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
896,"Locatim, Oral Solution for Neonatal Calves less than 12 hours of age",42275/5000,Bovine concentrated lactoserum,,POM-VPS,Oral solution,Lactoserum,,,,,
277,Animec 10 mg/ml Solution for Injection for Cattle and Pigs,11990/4023,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
701,Topimec 5 mg/ml Pour-on Solution,11990/4061,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
975,Topimec Plus 10/100 mg/ml Solution for Injection for Cattle,11990/5000,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
742,Hemosilate 125 mg/ml Solution for Injection,46037/4005,Etamsylate,,POM-V,Solution for injection,Miscellaneous,,,,,
612,Novomate 277.8 mg/ml Powder and Solvent for Suspension for Injection for Cattle,52429/4000,"Penethamate Hydriodide, micronised",,POM-V,Powder and solvent for suspension for injection,Antimicrobial,ml,166.7,Penicillins,Injection,
904,Hiprabovis IBR Marker Live,EU/2/10/114/001-003,Infectious bovine rhinotraceitis virus,,POM-V,Lyophilisate for suspension for injection,Live Viral Vaccine,,,,,
475,Zulvac 1+8 Ovis Suspension for Injection for Sheep,EU/2/11/120/001-003,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
432,Bluevac BTV Suspension for injection for cattle and sheep,EU/2/11/122/001-009,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
519,Zuprevo 180 mg/ml Solution for Injection for Cattle,EU/2/11/124/005-008,Tildipirosin,,POM-V,Solution for injection,Antimicrobial,ml,180,Macrolides,Injection,
307,Tribex 10% Oral Suspension for Cattle,11990/4034,Triclabendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
350,Animec 0.5% w/v Pour-on Solution,11990/4038,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
349,Premadex 0.5% w/v Pour-on Solution,11990/4039,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
368,Albacert 2.5% w/v SC Oral Suspension,11990/4050,Albendazole,,POM-VPS,Oral suspension,Anthelmintic,,,,,
373,Triclacert 5% Oral Suspension for Sheep,11990/4051,Triclabendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
635,Rotavec Corona Emulsion for Injection for Cattle,43877/4002,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",,POM-VPS,Emulsion for injection,Inactivated Viral and Bacterial Vaccine,,,,,
660,Vecoxan 2.5 mg/ml Oral Suspension,43877/4005,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
690,Dectomax 10 mg/ml Solution for Injection for Cattle and Sheep,43877/4011,Doramectin,,POM-VPS,Solution for injection,Endectocide,,,,,
712,"Ketosan, 100 mg/ml Solution for Injection for Cattle and Pigs ",48659/4000,Ketoprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
6,Vitamin B1 10% w/v Solution for Injection,50146/4029,Thiamine Hydrochloride,,POM-V,Solution for injection,Vitamin,,,,,
902,Melovem 5 mg/ml solution for injection for cattle and pigs,EU/2/09/098/001,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
374,Triclacert 10% Oral Suspension for Cattle,11990/4052,Triclabendazole,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
486,"Emdocam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/11/128/001-003 ,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
217,Megacal-M Solution for Injection,12828/4000,"Calcium, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
158,Veticop 20 mg/ml Suspension for Injection,12828/4001,Copper,,POM-VPS,Suspension for injection,Mineral,,,,,
513,Zulvac 1+8 Bovis Suspension for Injection for Cattle,EU/2/12/139/001-003,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
531,"Contacera 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",EU/2/12/144/001-004 ,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
654,HALAGON 0.5mg/ml Oral Solution for Calves,EU/2/16/201/001-003,Halofuginone,,POM-V,Oral solution,Antiprotozoal,,,,,
652,Zulvac BTV suspension for injection for sheep and cattle,EU/2/17/207/001–009,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
661,Zeleris,EU/2/17/210/001–003,"Florfenicol, Meloxicam",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,ml,400,Amphenicols,Injection,
706,Bovilis Blue-8 Suspension for Injection for Cattle and Sheep,EU/2/17/218/001-003,Bluetongue virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
954,Fatroseal 2.6 g Intramammary Suspension for Dry Cows ,42120/3000,Bismuth Subnitrate,,POM-V,Intramammary suspension,Miscellaneous mechanical teat seal ,,,,,
955,Fatroseal 2.6 g Intramammary Suspension for Dry Cows ,42120/5000,Bismuth Subnitrate,,POM-V,Intramammary suspension,Miscellaneous mechanical teat seal ,,,,,
702,UBAC Emulsion for Injection for Cattle,EU/2/18/227/001-004,Biofilm Adhesion Component (BAC) of Streptococcus uberis,,POM-V,Emulsion for injection,Inactivated Bacterial Vaccine,,,,,
