id,product_name,vm_number,active_substances,target_species,distribution_category,pharmaceutical_form,therapeutic_group,antibiotic_active_ingredient_unit,antibiotic_active_ingredient_mg_unit,antibiotic_class,antibiotic_route_of_administration,hp_cia
867,Inflacam 5 mg/ml Solution for Injection for Cattle and Pigs,08749/5014,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
869,Rheumocam 5 mg/ml Solution for Injection for Cattle and Pigs,08749/5025,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
1042,"Dalmazin, 75 Micrograms/ml, Solution for Injection for Cows and Sows",11557/5003,Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
971,"Chanaxin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",08749/5027,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,100,Macrolides,Injection,
435,"Enrocare 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",10347/4029,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,50,Fluoroquinolones,Injection,
1043,Animec 10 mg/ml Solution for Injection for Cattle and Pigs,11990/3001,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
1044,Animec 10 mg/ml Solution for Injection for Cattle and Pigs,11990/5001,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
1030,Finadyne Transdermal 50 mg/ml Pour-on Solution for Cattle,01708/3013,Flunixin,,POM-V,Pour-on solution,Anti Inflammatory NSAID,,,,,
108,Levacide Low Volume 7.5% Oral Solution,02000/4081,Levamisole Hydrochloride,,POM-VPS,Oral solution,Anthelmintic,,,,,
641,Epricert 5 mg/ml Pour-on Solution for Beef & Dairy Cattle,08749/4060,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
192,Bovalto Pastobov,08327/4173,Mannheimia haemolytica,,POM-V,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
970,Fencovis Suspension for Injection,08327/5000,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
1077,Bovalto Respi 3 Suspension for Injection for Cattle,08327/5010,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
254,Aftopur DOE,08327/4162,Foot-and-mouth disease virus,,POM-V,Emulsion for injection,Inactivated Viral Vaccine,,,,,
253,Aftopur AlSap,08327/4163,Foot-and-mouth disease virus,,POM-V,Suspension for injection,Inactivated Viral Vaccine,,,,,
305,Benzimole 25 mg/ml SC Oral Suspension,08749/4040,"Albendazole, Cobalt, Selenium",,POM-VPS,Oral suspension,Anthelmintic,,,,,
637,Bovalto Respi 3 Suspension for Injection for Cattle,08327/4273,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
304,Levasure 7.5% w/v Oral Solution,08749/4041,Levamisole Hydrochloride,,POM-VPS,Oral solution,Anthelmintic,,,,,
628,Euthoxin 500 mg/ml Solution for Injection,08749/4055,Pentobarbital Sodium,,POM-V,Solution for injection,Neurological Agent euthanasia agent,,,,,
595,EpriMole 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,08327/4281,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
616,"Eprinex Multi 5 mg/ml Pour-on for Beef and Dairy Cattle, Sheep and Goats",08327/4282,Eprinomectin,,POM-V,Pour-on solution,Endectocide,,,,,
22,"Alamycin Aerosol 3.58% w/w Cutaneous Spray, Solution",02000/4053,Oxytetracycline Hydrochloride,,POM-V,"Cutaneous spray, solution",Antimicrobial,,,,,
529,Marbodug 100 mg/ml Solution for Injection for Cattle and Pigs,34534/4009,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
58,Norodine 24 Solution for Injection,02000/4061,"Sulfadiazine, Trimethoprim",,POM-V,Solution for injection,Antimicrobial,ml,240,Trim-sulph,Injection,
1089,Closamectin 5 mg/ml/125 mg/ml Solution for Injection for Sheep,02000/4262,"Closantel, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
998,"Mastiplan LC, 300 mg/20 mg (Cefapirin/Prednisolone), Intramammary Suspension for Lactating Cows ",01708/3010,"Cefapirin, Prednisolone",,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,items,300,1st 2nd cephalosporins,Intramammary,
1040,Epricert 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,08749/4060,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
642,Unomec 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,08749/4061,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
663,"Chanox Multi 50 mg/ml Oral Suspension for Piglets, Calves and Lambs",08749/4071,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
682,Dycoxan 2.5 mg/ml Oral Suspension for Sheep and Cattle,08749/4085,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
1041,"Dalmazin, 75 Micrograms/ml, Solution for Injection for Cows and Sows",11557/3001,Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
528,Marbodug 20 mg/ml Solution for Injection for Cattle and Pigs,34534/4010,Marbofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,20,Fluoroquinolones,Injection,
832,Baytril Max 100 mg/ml Solution for Injection for Cattle and Pigs,00879/4123,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
152,Bovilis Ringvac,01708/4619,Trichophyton verrucosum,,POM-V,Lyophilisate and solvent for suspension for injection,Live Fungal Vaccine,,,,,
13,Clinidip L Concentrate 2.0% w/v Concentrate for Teat Dip or Teat Spray Solution,01808/4010,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
640,Epromec 5 mg/ml Pour-on Solution for Beef and Dairy Cattle,08749/4059,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
623,"Fendicam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",08749/4090,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
866,"Inflacam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",08749/5013,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
868,"Rheumocam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",08749/5022,Meloxicam,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
495,"Ubrostar Red 100 mg / 280 mg / 100 mg, Intramammary Suspension for Cattle",08327/4307,"Benethamine Penicillin, Framycetin Sulphate, Penethamate hydriodide, non-micronised",,POM-V,Intramammary suspension,Antimicrobial,items,330.8,Multiple actives,Intramammary dry cow,
410,Ubrolexin Intramammary Suspension for Lactating Dairy Cows,08327/4306,"Cefalexin, Kanamycin",,POM-V,Intramammary suspension,Antimicrobial intramammary,items,326,Multiple actives,Intramammary lactating cow,
40,Pen & Strep Suspension for Injection,02000/4100,"Dihydrostreptomycin Sulphate, Procaine Benzylpenicillin",,POM-V,Suspension for injection,Antimicrobial,ml,364,Multiple actives,Injection,
90,Calciject LV Solution for Injection,02000/4124,"Boric Acid, Calcium, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
336,Folltropin 700 IU Powder and Solvent for Solution for Injection,08007/4145,Follicle Stimulating Hormone (porcine),,POM-V,Powder and solvent for solution for injection,Hormone,,,,,
124,Trodax 34% w/v Solution for Injection ,08327/4187,Nitroxynil,,POM-VPS,Solution for injection,Anthelmintic flukicide,,,,,
406,"Cevazuril 50 mg/ml, Oral Suspension for Piglets and Calves",15052/4054,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
606,"Eprecis 20 mg/ml Solution for Injection for Cattle, Sheep and Goats",15052/4070,Eprinomectin,,POM-V,Solution for injection,Endectocide,,,,,
39,Alamycin LA 300 Solution for Injection 300 mg/ml,02000/4113,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,300,Tetracyclines,Injection,
929,"Eprecis 5 mg/ml Pour-on Solution for Cattle, Sheep and Goats ",15052/4072,Eprinomectin,,POM-V,Pour-on solution,Endectocide,,,,,
685,Seclaris DC 250 mg Intramammary Suspension for Dry Cows ,15052/4139,Cephalonium,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,250,1st 2nd cephalosporins,Intramammary dry cow,
94,Ketofen 10% Solution for Injection,15052/4146,Ketoprofen,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
1047,Gabbrovet Multi 140 mg/ml Solution for Use in Drinking Water/Milk for Pre-ruminant Cattle and Pigs,15052/5034,Paromomycin Sulfate,,POM-V,Solution for use in drinking water/milk,Antimicrobial,,,,,
774,Xylacare 2% w/v Solution for Injection,10347/4020,Xylazine,,POM-V,Solution for injection,Neurological Agent sedative,,,,,
60,Vitesel Emulsion for Injection,02000/4115,"Alpha Tocopheryl Acetate, Selenium",,POM-V,Emulsion for injection,Vitamin; Mineral,,,,,
73,"Alamycin LA 200 mg/ml Solution for Injection for Cattle, Sheep and Pigs",02000/4117,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,200,Tetracyclines,Injection,
15,Calciject 40 CM Solution for Injection,02000/4125,"Boric Acid, Calcium, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
100,Noroclox DC Xtra 600 mg Intramammary Suspension,02000/4126,Cloxacillin,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,600,Penicillins,Intramammary dry cow,
168,Norixin 5% Solution for Injection,02000/4137,Flunixin,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
59,Forketos Oral Solution for Cattle and Sheep,10434/4036,"Cobalt, Propylene Glycol",,AVM-GSL,Oral solution,Gastrointestinal metabolic,,,,,
55,"Vitbee 1000, 0.100% w/v Solution for Injection",10434/4039,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
48,Forgastrin Oral Powder,10434/4040,"Attapulgite, Bone Charcoal",,AVM-GSL,Oral powder,Gastrointestinal,,,,,
70,Birp Oral Emulsion for Cattle,10434/4041,Simethicone,,AVM-GSL,Oral emulsion,Gastrointestinal antibloat,,,,,
54,"Vitbee 250, 0.025% w/v Solution for Injection",10434/4043,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
107,Phosphorus Supplement 1.8% w/v Solution for Injection,10434/4044,Phosphorus,,POM-V,Solution for injection,Mineral,,,,,
24,Willcain Solution for Injection,10434/4046,"Epinephrine, Procaine Hydrochloride",,POM-VPS,Solution for injection,Neurological Agent local anaesthetic,,,,,
53,Glucose 40% w/v Solution for Injection,10434/4047,Glucose Anhydrous,,POM-VPS,Solution for injection,Replacement Agent,,,,,
1045,"Gabbrovet 140 mg/ml Solution for Use in Drinking Water, Milk or Milk Replacer for Pre-ruminant Cattle and Pigs",15052/3002,Paromomycin Sulfate,,POM-V,Solution for use in drinking water/milk,Antimicrobial,ml,140,Aminoglycosides,Oral Solution,
1046,"Allevinix 50 mg/ml Solution for Injection for Cattle, Pigs and Horses",15052/3010,Flunixin,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
614,"Exflow 10 mg/g Powder for Use in Drinking Water for Cattle (Calves), Pigs, Chickens, Turkeys and Ducks",15052/4073,Bromhexine Hydrochloride,,POM-V,Powder for use in drinking water ,Respiratory mucolytic,,,,,
1048,"Allevinix 50 mg/ml Solution for Injection for Cattle, Pigs and Horses",15052/5042,Flunixin,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
1049,Revozyn RTU 400 mg/ml Suspension for Injection for Cattle,16849/3000,"Penethamate Hydriodide, micronised",,POM-V,Suspension for injection,Antimicrobial,ml,240,Penicillins,Injection,
1050,"Solacyl 1000 mg/g, Powder for Oral Solution for Cattle and Pigs",16849/3004,Sodium Salicylate,,POM-V,Powder for oral solution,Neurological Agent analgesic,,,,,
887,HALAGON 0.5mg/ml Oral Solution for Calves,34534/5001,Halofuginone,,POM-V,Oral solution,Antiprotozoal,,,,,
672,"Plenix LC 75 mg, Intramammary Ointment for Lactating Cows",15052/4129,Cefquinome,,POM-V,Intramammary ointment,Antimicrobial intramammary,items,75,3rd 4th cephalosporins,Intramammary lactating cow,
646,Aqupharm 1 (9 mg/ml) Solution for Injection/Infusion,10347/4038,Sodium Chloride,,POM-V,Solution for infusion,Replacement Agent,,,,,
187,Norocillin 30% w/v Suspension for Injection,02000/4099,Procaine Benzylpenicillin,,POM-V,Suspension for injection,Antimicrobial,ml,171,Penicillins,Injection,
834,Micotil 300 mg/ml Solution for Injection,00879/4203,Tilmicosin,,POM-V,Solution for injection,Antimicrobial,ml,300,Macrolides,Injection,
647,Aqupharm 11 (Hartmann's) Solution for Infusion,10347/4039,"Calcium Chloride Dihydrate, Potassium Chloride, Sodium Chloride, Sodium Lactate",,POM-V,Solution for infusion,Replacement Agent,,,,,
1092,Quinoflox 100 mg/ml Solution for Injection for Cattle and Pigs,36167/3001,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
436,Enrocare 100 mg/ml Solution for Injection for Cattle and Pigs,10347/4030,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
525,Quinoflox 100 mg/ml Solution for Injection for Cattle and Pigs,36167/4003,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,,,,,
317,Somulose Solution for Injection,10434/4010,"Cinchocaine Hydrochloride, Secobarbital Sodium",,POM-V,Solution for injection,Neurological Agent euthanasia agent,,,,,
1095,"Huvexxin 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",30282/3002,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,,,,,
43,Bovaclox DC Xtra Intramammary Suspension,02000/4111,"Ampicillin, Cloxacillin",,POM-V,Intramammary suspension,Antimicrobial intramammary,items,900,Multiple actives,Intramammary dry cow,
167,Levacide Pour-on Solution 20% w/v,02000/4138,Levamisole Hydrochloride,,POM-VPS,Pour-on solution,Anthelmintic,,,,,
248,Hexasol LA Solution for Injection for Cattle,02000/4152,"Flunixin, Oxytetracycline",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,ml,300,Tetracyclines,Injection,
872,Coxevac suspension for injection for cattle and goats,15052/5000,Coxiella burnetii,,POM-V,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
199,Downland Fluke and Worm Oral Suspension,02000/4169,"Levamisole Hydrochloride, Oxyclozanide",,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
258,Noromectin 1% w/v Multi Injection Solution for Injection,02000/4174,Ivermectin,,POM-VPS,Solution for injection,Anthelmintic,,,,,
580,"Euthanimal 40%, 400 mg/ml Solution for Injection",36408/4002,Pentobarbital Sodium,,POM-V,Solution for injection,Neurological Agent euthanasia agent,,,,,
835,"Tylan 200, 200 mg/ml Solution for Injection ",00879/4204,Tylosin,,POM-V,Solution for injection,Antimicrobial,ml,200,Macrolides,Injection,
909,Tulaven 25 mg/ml solution for injection for pigs,15052/5019,Tulathromycin,,POM-V,Solution for injection,Antimicrobial,ml,25,Macrolides,Injection,
235,Dunlop's 4 BC Vitamin Solution for Injection,02000/4177,"Ascorbic Acid, Nicotinamide, Pyridoxine Hydrochloride, Riboflavine Sodium Phosphate, Thiamine Hydrochloride",,POM-VPS,Solution for injection,Vitamin,,,,,
917,Bovilis Leptavoid–H Suspension for Injection for Cattle,01708/4568,Leptospira hardjo,,POM-VPS,Suspension for injection,Inactivated Bacterial Vaccine,,,,,
262,Noroclav Injection for Cattle and Dogs,02000/4185,"Amoxicillin, Clavulanic Acid",,POM-V,Suspension for injection,Antimicrobial,ml,140,Penicillins,Injection,
1011,"Glucose 5 g/100 ml B. Braun Vet Care Solution for Infusion for Cattle, Horses, Sheep, Goats, Pigs, Dogs and Cats",03551/4002,Glucose Anhydrous,,POM-V,Solution for infusion,Replacement Agent,,,,,
237,Noromectin 0.5% w/v Pour-on Solution,02000/4172,Ivermectin,,POM-VPS,Pour-on solution,Anthelmintic,,,,,
140,Depocillin 300 mg/ml Suspension for Injection,01708/4622,Procaine Benzylpenicillin,,POM-V,Suspension for injection,Antimicrobial,ml,171,Penicillins,Injection,
259,Noromectin 0.08% w/v Drench Oral Solution,02000/4184,Ivermectin,,POM-VPS,Oral solution,Endectocide,,,,,
658,"Baycox Multi 50 mg/ml Oral Suspension for Cattle, Pigs and Sheep",00010/4210,Toltrazuril,,POM-V,Oral suspension,Antiprotozoal anticoccidial,,,,,
342,Countdown Extra 0.535% w/v Ready to Use Teat Dip and Teat Spray Solution,03940/4097,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
489,Topimec Plus 10/100 mg/ml Solution for Injection for Cattle,11990/4055,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
61,"Rumbul Rumen Bullet 40 g Continuous Release Intraruminal Device, Cattle",04261/4003,Magnesium,,POM-VPS,Continuous-release intraruminal device,Mineral,,,,,
371,Qualimec 10 mg/ml Solution for Injection,13277/4017,Ivermectin,,POM-VPS,Solution for injection,Endectocide,,,,,
387,Chloromed 150 mg/g Premix for Medicated Feeding Stuff for Calves,05150/4000,Chlortetracycline Hydrochloride,,POM-V,Premix for medicated feeding stuff,Antimicrobial,g,150,Tetracyclines,Premix,
721,Tyljet 200 mg/ml Solution for Injection for Cattle and Pigs ,15052/4157,Tylosin,,POM-V,Solution for injection,Antimicrobial,ml,200,Macrolides,Injection,
763,Cevaprost 250 µg/ml Solution for Injection,15052/4159,Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
968,Zeleris 400 mg/ml + 5 mg/ml Solution for Injection for Cattle,15052/5026,"Florfenicol, Meloxicam",,POM-V,Solution for injection,Antimicrobial; Anti Inflammatory,ml,400,Amphenicols,Injection,
1051,Revozyn RTU 400 mg/ml Suspension for Injection for Cattle,16849/5000,"Penethamate Hydriodide, micronised",,POM-V,Suspension for injection,Antimicrobial,,,,,
1052,"Solacyl 1000 mg/g, Powder for Oral Solution for Cattle and Pigs",16849/5004,Sodium Salicylate,,POM-V,Powder for oral solution,Neurological Agent analgesic,,,,,
1053,"VETERELIN 0.004 mg/ml Solution for Injection for Cattle, Horses, Pigs, and Rabbits",20634/3001,Buserelin,,POM-V,Solution for injection,Hormone sex,,,,,
1054,"Veteglan 0.075 mg/ml Solution for Injection for Cows, Sows and Mares",20634/3002,d-Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
684,"Dugnixon 50 mg/ml Solution for Injection for Cattle, Pigs and Horses",36167/4005,Flunixin,,POM-V,Solution for injection,Anti Inflammatory NSAID,,,,,
579,"Euthanimal 20%, 200 mg/ml Solution for Injection",36408/4001,Pentobarbital Sodium,,POM-V,Solution for injection,Neurological Agent euthanasia agent,,,,,
941,Addimag 160 mg/ml + 84 mg/ml Solution for Infusion for Cattle,36408/4003,"Calcium Gluconate Monohydrate, Magnesium Chloride Hexahydrate",,POM-V,Solution for infusion,Mineral deficiency,,,,,
991,Quinoflox 100 mg/ml Solution for Injection for Cattle and Pigs,36167/5001,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,,,,,
28,Hornex 42.7% w/w Cutaneous Paste,36237/4000,Sodium Hydroxide,,POM-VPS,Cutaneous paste,Miscellaneous skin preparation,,,,,
469,Apotil 300 mg/ml Solution for Injection,36308/4000,Tilmicosin,,POM-V,Solution for injection,Antimicrobial,ml,300,Macrolides,Injection,
472,"Ceftiosan, 50 mg/ml, Suspension for Injection for Pigs and Cattle",36408/4000,Ceftiofur,,POM-V,Suspension for injection,Antimicrobial,ml,50,3rd 4th cephalosporins,Injection,
1093,Cydectin 10% LA Solution for Injection for Cattle,42058/5116,Moxidectin,,POM-VPS,Solution for injection,Endectocide,,,,,
145,Elanco Scour Formula Extra Powder for Oral Solution ,00879/4178,"Disodium Hydrogen Citrate, Glucose Monohydrate, Glycine, Potassium Citrate Monohydrate, Potassium Dihydrogen Phosphate, Sodium Chloride, Sodium Citrate Dihydrate ",,AVM-GSL,Powder for oral solution,Replacement Agent,,,,,
1096,Rispoval IBR-Marker Live,42058/3015,Infectious bovine rhinotraceitis virus,,POM-V,Powder and solvent for solution for injection,Live Viral Vaccine,,,,,
280,Paramectin 0.5% w/v Pour-on Solution,02000/4197,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
950,Birp Oral Emulsion for Cattle,36408/4016,Simethicone,,AVM-GSL,Oral emulsion,Gastrointestinal antibloat,,,,,
677,Revozyn RTU 400 mg/ml Suspension for Injection for Cattle,16849/4057,"Penethamate Hydriodide, micronised",,POM-V,Suspension for injection,Antimicrobial,,,,,
1079,"Advocin 180, 180 mg/ml, Solution for Injection for Cattle",42058/3008,Danofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,180,Fluoroquinolones,Injection,
1080,"Advocin 180, 180 mg/ml, Solution for Injection for Cattle",42058/5107,Danofloxacin,,POM-V,Solution for injection,Antimicrobial,,,,,
620,Imrestor,EU/2/15/193/001-003,Pegylated Bovine Granulocyte Colony Stimulating Factor,,POM-V,Solution for injection,Immunomodulator,,,,,
352,Bovidip 0.5% w/w Teat Dip or Teat Spray Solution,17140/4007,Available Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
1000,"Gabbrovet 140 mg/ml Solution for Use in Drinking Water, Milk or Milk Replacer for Pre-ruminant Cattle and Pigs",15052/5034,Paromomycin Sulfate,,POM-V,Solution for use in drinking water/milk,Antimicrobial,,,,,
1055,"VETERELIN 0.004 mg/ml Solution for Injection for Cattle, Horses, Pigs, and Rabbits",20634/5003,Buserelin,,POM-V,Solution for injection,Hormone sex,,,,,
115,Engemycin 10% DD Solution for Injection,01708/4623,Oxytetracycline,,POM-V,Solution for injection,Antimicrobial,ml,100,Tetracyclines,Injection,
270,Nafpenzal Dry Cow,01708/4624,"Dihydrostreptomycin, Nafcillin, Procaine Benzylpenicillin",,POM-V,Intramammary suspension,Antimicrobial intramammary,items,371,Multiple actives,Intramammary dry cow,
919,CepraShort 300 mg Intramammary Suspension for Dairy Cows at Drying-Off,01708/4644,Cefapirin,,POM-V,Intramammary suspension,Antimicrobial intramammary,items,300,1st 2nd cephalosporins,Intramammary,
845,Cocci-Drench 2.5 mg/ml Oral Suspension,01708/4646,Diclazuril,,POM-VPS,Oral suspension,Antiprotozoal anticoccidial,,,,,
281,Tectomec 0.8 mg/ml Oral Solution Drench for Sheep,02000/4198,Ivermectin,,POM-VPS,Oral solution,Endectocide,,,,,
613,Eprecis 5 mg/ml Pour-on Solution for Cattle,15052/4072,Eprinomectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
300,Downlands Calcium Borogluconate 40% w/v CM Solution for Injection,02000/4214,"Boric Acid, Calcium, Magnesium",,POM-VPS,Solution for injection,Mineral,,,,,
309,Nisinject Suspension for Injection,02000/4227,"Amoxicillin, Clavulanic Acid",,POM-V,Suspension for injection,Antimicrobial,ml,140,Penicillins,Injection,
873,"Tulaven 100 mg/ml solution for injection for cattle, pigs and sheep",15052/5018,Tulathromycin,,TBA,Solution for injection,Antimicrobial,,,,,
62,"Rumbul Rumen Bullet 15 g Continuous Release Intraruminal Device, Sheep/Calves",04261/4004,Magnesium,,POM-VPS,Continuous-release intraruminal device,Mineral,,,,,
407,Ivermectin Pour-on Solution for Cattle 5 mg/ml Virbac,05653/4149,Ivermectin,,POM-VPS,Pour-on solution,Endectocide,,,,,
332,IVERMECTIN AND CLORSULON 10 mg/ml / 100 mg/ml Solution for Injection for Cattle Virbac,05653/4205,"Clorsulon, Ivermectin",,POM-VPS,Solution for injection,Endectocide,,,,,
1076,Bovalto Respi 4 Suspension for Injection ,08327/3009,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Bovine viral diarrhoea virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
1078,Bovalto Respi 4 Suspension for Injection ,08327/5011,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus, Bovine viral diarrhoea virus, Mannheimia haemolytica",,POM-V,Suspension for injection,Inactivated Viral and Bacterial Vaccine,,,,,
153,Deosan Teatcare Plus 0.425% w/w Teat Dip and Teat Spray Emulsion,15985/4009,Chlorhexidine Gluconate,,AVM-GSL,Teat dip emulsion,Antiseptic,,,,,
1056,"Veteglan 0.075 mg/ml Solution for Injection for Cows, Sows and Mares",20634/5004,d-Cloprostenol,,POM-V,Solution for injection,Prostaglandin,,,,,
622,"CTC Spray 78.6 mg/g, Cutaneous Spray, Suspension for Pigs, Sheep and Cattle",16849/4053,Chlortetracycline Hydrochloride,,POM-V,"Cutaneous spray, suspension",Antimicrobial,,,,,
688,Diatrim 200 mg/ml + 40 mg/ml Solution for Injection,16849/4059,"Sulfadiazine, Trimethoprim",,POM-V,Solution for injection,Antimicrobial,ml,240,Trim-sulph,Injection,
260,Proactive 0.15% w/w Teat Dip/Spray Solution,17140/4000,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
290,Blockade 0.25 % w/w Iodine Teat Dip Solution,17140/4003,Iodine,,AVM-GSL,Teat dip solution,Antiseptic,,,,,
17,"QuarterMate, 0.1% w/w Teat Dip or Teat Spray Solution",17140/4004,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
1057,"Enrotron 100 mg/ml Solution for Injection for Cattle, Sheep, Goats and Pigs",24745/4028,Enrofloxacin,,POM-V,Solution for injection,Antimicrobial,ml,100,Fluoroquinolones,Injection,
943,Forgastrin Oral Powder,36408/4009,"Attapulgite, Bone Charcoal",,AVM-GSL,Oral powder,Gastrointestinal,,,,,
944,Phosphorus Supplement 1.8% w/v Solution for Injection,36408/4010,Phosphorus,,POM-V,Solution for injection,Mineral,,,,,
945,"Vitbee 250, 0.025% w/v Solution for Injection",36408/4011,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
946,"Vitbee 1000, 0.100% w/v Solution for Injection",36408/4012,Cyanocobalamin,,POM-VPS,Solution for injection,Vitamin,,,,,
949,Forketos Oral Solution for Cattle and Sheep,36408/4015,"Cobalt, Propylene Glycol",,AVM-GSL,Oral solution,Gastrointestinal metabolic,,,,,
450,Tuberculin PPD Kit,36410/4000,"Avian Tuberculin PPD, Bovine Tuberculin PPD",,POM-V,Solution for injection,Diagnostic Preparation,,,,,
482,Hymatil 300 mg/ml Solution for Injection for Cattle and Sheep,36547/4000,Tilmicosin,,POM-V,Solution for injection,Antimicrobial,ml,300,Macrolides,Injection,
26,"Oxytocin-S, 10 iu/ml, Solution for Injection",01708/4314,Oxytocin Synthetic,,POM-V,Solution for injection,Hormone,,,,,
77,Dexadreson 2 mg/ml Solution for Injection,01708/4323,Dexamethasone,,POM-V,Solution for injection,Anti Inflammatory corticosteroid,,,,,
76,Dexafort Suspension for Injection,01708/4324,"Dexamethasone Phenylpropionate, Dexamethasone Sodium Phosphate",,POM-V,Suspension for injection,Anti Inflammatory corticosteroid,,,,,
183,Iodine 2% w/v Concentrate for Teat Dip and Spray Solution,15985/4022,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
154,Deosan Super Excel 0.52% w/v Teat Dip and Spray Solution,15985/4012,Iodine,,AVM-GSL,Teat dip/spray solution,Antiseptic,,,,,
1059,Distocur 34 mg/ml Oral Suspension for Cattle and Sheep,28365/5005,Oxyclozanide,,POM-VPS,Oral suspension,Anthelmintic flukicide,,,,,
