id,field_id,pasturetype_id
673,ea54b8f2-222b-47df-92d6-4ade5fe3ff71,5
675,e300b6f0-71f2-4769-b912-08ee774978f4,5
682,425f7b64-8613-4099-ba02-af157de7e629,5
683,2a866fcf-d5c5-42a3-a232-65824ca41813,5
717,fbf4ab9b-70f5-4355-b3e4-49d3ec114a5d,5
725,42966d3e-f67d-45de-b8ba-a348c75fe0b1,4
735,d4ef5642-5a7d-49db-ba7e-2786470ecaf9,4
747,72a8bac3-5437-4f8a-81a0-ed82557d7743,2
768,f29ad09b-50fc-492d-96e4-7ee9c161047e,2
777,e1e400b6-f13c-46d9-9a6c-87c2fddfbc21,2
786,108e6e60-6220-4a1c-b6eb-6e6456e5126d,4
796,08461218-a98d-44cb-8727-a85322281751,5
798,266ba40a-a30f-4ba3-ad9f-9f23dd122f07,5
799,21db4558-2dfe-4d4e-9a32-aee73bff6872,5
800,04b1b390-3ba1-42e9-a4b7-62ebbc9c1071,5
803,6282ae67-a9a2-40af-a343-7b61dc224258,5
827,a52c8b95-3004-48d9-9672-a8b5f6a3f9d1,5
831,f3008a75-ee3d-4952-99f4-12b44aafd61f,2
834,7a5eebee-e653-43a0-bc8d-60ee8a11007c,2
842,624cb068-269d-44c8-9461-87e2a26946f1,2
848,28a42f29-c378-4e42-ad06-8040d70f7e0e,2
855,184df236-17b3-4659-adcf-733b9ce2b640,2
866,25be4bd7-1747-4e4c-b1bd-7b230e3aaa68,2
874,bfabd60d-f370-40c0-bcef-ae1325633241,2
882,072d83e4-dc25-4e87-8353-962d89838b97,2
887,c5c536d2-5df9-43ef-aec2-333d0752851a,2
909,07229586-5c81-4fa1-8135-39a73d58cd18,2
930,ba5f7ece-b608-46d2-bb50-d3017498e7e9,5
940,b9874e2d-a3fd-4a67-8a94-59b7a6d4055b,5
948,dacb8122-72aa-41dc-8259-7090fbd1737a,2
949,cdbfa8f7-36c0-49c0-9aba-6f0c01cb6085,2
952,a2b412b5-4156-45dc-a336-b1f5b6773ef9,4
956,8619d54a-657b-40e2-bc25-74d61752f925,2
978,46929b1d-b5e9-4a7c-9a9c-94495f5fd5b3,5
980,e7a9e625-ce66-41e0-9fa5-d12b189dee60,5
981,1ae9903d-ddea-4ac5-9f9e-c3edc5c1ba53,5
984,a23d0eed-f11e-4354-82db-ff35d8fde669,2
993,0e1b50ea-02e1-4d79-8d1b-595517d44327,4
994,293b8ce6-cc85-4e27-8556-abc39537ba2e,4
996,3d90614e-b2f6-409d-b52d-997696560ce1,5
1003,0fb51c8a-c1fc-403f-b9b8-5c5e9f634fa6,2
1012,013d8b18-bb36-4740-8891-37b5dd93c31b,4
1021,03a3cf7f-c379-410f-a92f-6392faf70875,4
1022,abdb5708-b48e-43eb-be2d-0c51d68a7055,5
1024,c90bfa71-a564-418b-86e4-b9c25dbfc6e9,2
