animal_id,brucellosis_id,trich_id,tsu_barcode,pedigree_id,tattoo,herd_dogg_id,uhf_id,breedr_id,alternative_id
94ef4975-18ad-47fc-ad00-47860bfe378d,,,,,,,,B-230M-GB037K-8DR6S4,
04f40950-8f7b-4a22-a185-b632991f5d1a,,,,,,,,B-2303-GB037K-VQWTJ7,
cb6a6373-bd11-40a6-885b-bb4008c5f928,,,,,,,,B-230H-GB037K-L8SQ01,
a3577a2e-e93d-42b6-b9eb-da20de3bf45a,,,,,,,,B-230V-GB037K-V7PGXM,
c08dace1-f725-4727-a097-d0469c5b56a5,,,,,,,,B-230H-GB037K-NRCSM7,
feec92fa-5e92-44a3-9d39-3724f87f1fa3,,,,,,,,B-2308-GB037K-BDX646,
366a60c1-30e1-4940-bf1d-c16f4fe91684,,,,,,,,B-2309-GB037K-B7RZQ6,
51b70a4e-62e2-423f-b76e-92b127f8090c,,,,,,,,B-2308-GB037K-LP5HHR,
0c0cc03b-31f2-43ba-b6f5-fdb2a834ca9c,,,,,,,,B-230N-GB037K-HQGRTB,
ca8515ba-7d98-494f-a881-36b12d7feadc,,,,,,,,B-2308-GB037K-WX9FXR,
67616e0e-e6d2-43a2-9526-8b0a24e8e6b2,,,,,,,,B-230H-GB037K-72P6PJ,
999a6c2a-72bf-4e4e-a8ba-1c01f61a2698,,,,,,,,B-2303-GB037K-F0BF2R,
20683aca-2a94-4fbf-aa99-4938547710ca,,,,,,,,B-230L-GB037K-XTY25L,
94090340-8427-4771-8ce4-a9554325ff9c,,,,,,,,B-2308-GB037K-276RW1,
54075dd7-1e64-4dc5-adbf-ca9b1721c08d,,,,,,,,B-230Z-GB037K-GMH315,
480862f2-feb0-49b0-9497-5537f0dc2e43,,,,,,,,B-230K-GB037K-DWQ0QR,
794977d9-b83d-4f58-a813-59ae139776b9,,,,,,,,B-2306-GB037K-BM75H8,
9a9b9363-b686-4e83-98f9-b10345d17857,,,,,,,,B-2305-GB037K-8DJ07N,
fedd8594-29e8-493a-a8db-9274a69d641e,,,,,,,,B-230M-GB037K-LGHCM0,
506b5e94-7906-47ae-8bf6-db24f0ccb7ab,,,,,,,,B-2302-GB037K-0WGPDK,
5cf1201c-d802-4556-9645-98a26e96f750,,,,,,,,B-2309-GB037K-Y9K2GW,
11263207-d29d-489f-a5a7-6b568b52a877,,,,,,,,B-230R-GB037K-H6SXGT,
27093282-0d47-4aaf-a8de-f15cf5a9c6c1,,,,,,,,B-2301-GB037K-Y62TM9,
b68c59df-2d74-49a4-a9cb-61c32cf270cb,,,,,,,,B-230J-GB037K-S1C97Q,
27bfb5bd-350a-4a22-9064-ec61c61b12e2,,,,,,,,B-230K-GB037K-M38NXX,
c794a9a4-3712-45b8-9e13-539e9cc461f8,,,,,,,,B-230Q-GB037K-NRCCH0,
